site_name;count;start_datetime;end_datetime;longitude;latitude
Lyon 7_Pont Raymond Barre;5;2023-04-02 23:00:00+02:00;2023-04-03 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-02 22:00:00+02:00;2023-04-02 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-02 21:00:00+02:00;2023-04-02 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;12;2023-04-02 20:00:00+02:00;2023-04-02 21:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;14;2023-04-02 19:00:00+02:00;2023-04-02 20:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;36;2023-04-02 18:00:00+02:00;2023-04-02 19:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;18;2023-04-02 17:00:00+02:00;2023-04-02 18:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;28;2023-04-02 16:00:00+02:00;2023-04-02 17:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;29;2023-04-02 15:00:00+02:00;2023-04-02 16:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;30;2023-04-02 14:00:00+02:00;2023-04-02 15:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;17;2023-04-02 13:00:00+02:00;2023-04-02 14:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;28;2023-04-02 12:00:00+02:00;2023-04-02 13:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;26;2023-04-02 11:00:00+02:00;2023-04-02 12:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;26;2023-04-02 10:00:00+02:00;2023-04-02 11:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;21;2023-04-02 09:00:00+02:00;2023-04-02 10:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;6;2023-04-02 08:00:00+02:00;2023-04-02 09:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-02 07:00:00+02:00;2023-04-02 08:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-02 06:00:00+02:00;2023-04-02 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;5;2023-04-02 05:00:00+02:00;2023-04-02 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-02 04:00:00+02:00;2023-04-02 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;8;2023-04-02 03:00:00+02:00;2023-04-02 04:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;9;2023-04-02 02:00:00+02:00;2023-04-02 03:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;10;2023-04-02 01:00:00+02:00;2023-04-02 02:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;12;2023-04-02 00:00:00+02:00;2023-04-02 01:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;34;2023-03-31 23:00:00+02:00;2023-04-01 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;19;2023-03-31 22:00:00+02:00;2023-03-31 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;24;2023-03-31 21:00:00+02:00;2023-03-31 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;31;2023-03-31 20:00:00+02:00;2023-03-31 21:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;61;2023-03-31 19:00:00+02:00;2023-03-31 20:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;141;2023-03-31 18:00:00+02:00;2023-03-31 19:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;222;2023-03-31 17:00:00+02:00;2023-03-31 18:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;125;2023-03-31 16:00:00+02:00;2023-03-31 17:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;85;2023-03-31 15:00:00+02:00;2023-03-31 16:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;70;2023-03-31 14:00:00+02:00;2023-03-31 15:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;72;2023-03-31 13:00:00+02:00;2023-03-31 14:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;81;2023-03-31 12:00:00+02:00;2023-03-31 13:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;48;2023-03-31 11:00:00+02:00;2023-03-31 12:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;32;2023-03-31 10:00:00+02:00;2023-03-31 11:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;58;2023-03-31 09:00:00+02:00;2023-03-31 10:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;164;2023-03-31 08:00:00+02:00;2023-03-31 09:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;92;2023-03-31 07:00:00+02:00;2023-03-31 08:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;13;2023-03-31 06:00:00+02:00;2023-03-31 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;7;2023-03-31 05:00:00+02:00;2023-03-31 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-03-31 04:00:00+02:00;2023-03-31 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-03-31 02:00:00+02:00;2023-03-31 03:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;5;2023-03-31 01:00:00+02:00;2023-03-31 02:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;14;2023-03-31 00:00:00+02:00;2023-03-31 01:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;31;2023-03-30 23:00:00+02:00;2023-03-31 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;24;2023-03-30 22:00:00+02:00;2023-03-30 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;38;2023-03-30 21:00:00+02:00;2023-03-30 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;47;2023-03-30 20:00:00+02:00;2023-03-30 21:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;180;2023-03-30 19:00:00+02:00;2023-03-30 20:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;292;2023-03-30 18:00:00+02:00;2023-03-30 19:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;333;2023-03-30 17:00:00+02:00;2023-03-30 18:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;123;2023-03-30 16:00:00+02:00;2023-03-30 17:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;55;2023-03-30 15:00:00+02:00;2023-03-30 16:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;73;2023-03-30 14:00:00+02:00;2023-03-30 15:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;62;2023-03-30 13:00:00+02:00;2023-03-30 14:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;58;2023-03-30 12:00:00+02:00;2023-03-30 13:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;36;2023-03-30 11:00:00+02:00;2023-03-30 12:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;48;2023-03-30 10:00:00+02:00;2023-03-30 11:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;85;2023-03-30 09:00:00+02:00;2023-03-30 10:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;230;2023-03-30 08:00:00+02:00;2023-03-30 09:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;94;2023-03-30 07:00:00+02:00;2023-03-30 08:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;18;2023-03-30 06:00:00+02:00;2023-03-30 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;3;2023-03-30 05:00:00+02:00;2023-03-30 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-03-30 04:00:00+02:00;2023-03-30 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-03-30 03:00:00+02:00;2023-03-30 04:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;3;2023-03-30 02:00:00+02:00;2023-03-30 03:00:00+02:00;4.821243;45.73200204
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;1;2023-04-05 19:00:00+02:00;2023-04-05 20:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;1;2023-04-05 18:00:00+02:00;2023-04-05 19:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;3;2023-04-05 17:00:00+02:00;2023-04-05 18:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;3;2023-04-05 16:00:00+02:00;2023-04-05 17:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;1;2023-04-05 15:00:00+02:00;2023-04-05 16:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;1;2023-04-05 14:00:00+02:00;2023-04-05 15:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;1;2023-04-05 13:00:00+02:00;2023-04-05 14:00:00+02:00;4.93573;45.77062004
Vaulx en Velin_Chemin contre-halage Pont de la Sucrerie;1;2023-04-05 12:00:00+02:00;2023-04-05 13:00:00+02:00;4.93573;45.77062004
Lyon 1_Pont la Feuillée OE corrigé;7;2023-04-06 01:00:00+02:00;2023-04-06 02:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;23;2023-04-06 00:00:00+02:00;2023-04-06 01:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;47;2023-04-05 23:00:00+02:00;2023-04-06 00:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;53;2023-04-05 22:00:00+02:00;2023-04-05 23:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;42;2023-04-05 21:00:00+02:00;2023-04-05 22:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;71;2023-04-05 20:00:00+02:00;2023-04-05 21:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;139;2023-04-05 19:00:00+02:00;2023-04-05 20:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;136;2023-04-05 18:00:00+02:00;2023-04-05 19:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;133;2023-04-05 17:00:00+02:00;2023-04-05 18:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;88;2023-04-05 16:00:00+02:00;2023-04-05 17:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;91;2023-04-05 15:00:00+02:00;2023-04-05 16:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;66;2023-04-05 14:00:00+02:00;2023-04-05 15:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;68;2023-04-05 13:00:00+02:00;2023-04-05 14:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;73;2023-04-05 12:00:00+02:00;2023-04-05 13:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;50;2023-04-05 11:00:00+02:00;2023-04-05 12:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;47;2023-04-05 10:00:00+02:00;2023-04-05 11:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;91;2023-04-05 09:00:00+02:00;2023-04-05 10:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;128;2023-04-05 08:00:00+02:00;2023-04-05 09:00:00+02:00;4.83;45.76675404
