Adresse;count;start_datetime;end_datetime;longitude;latitude
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;3.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:00:00;2025-06-10 08:15:00;4.832572;45.793637
Bas Montée des Forts;5.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;5.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;9.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;3.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;8.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;4.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:15:00;2025-06-10 08:30:00;4.832572;45.793637
Bas Montée des Forts;5.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;9.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:30:00;2025-06-10 08:45:00;4.832572;45.793637
Bas Montée des Forts;4.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;3.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;3.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2025-06-10 08:45:00;2025-06-10 09:00:00;4.832572;45.793637
Bas Montée St Sébastien;2.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;3.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;35.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;26.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;8.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;2.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.835058;45.772192
Bas Montée St Sébastien;2.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;5.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;40.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;19.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;4.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;2.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.835058;45.772192
