adresse,commune,lat_t,lon_t
Chemin du Grand Revoyet entre croisement Rue des Collonges et Chemin de Pennachy (Saint-Genis-Laval),Saint Genis Laval,,
11 au 13 Rue André Sabatier (Grigny),Grigny,,
41 Rue Carnot (Décines-Charpieu),Decines Charpieu,,
"-Rue Marcel Sembat : Entre le Boulevard Lucien Sampaix et le Pont au-dessus des voies ferroviaires, -Boulevard Lucien Sampaix : Entre la Rue Marcel Sembat et Rue Charles Martin (Saint-Fons)","Saint Fons, Venissieux, Saint Fons",,
25 Rue de l'Oiseau Blanc (Lyon 5ème Arrondissement),Lyon 5ème,,
Face au 23 Rue des Martyrs de la Résistance (Vénissieux),Venissieux,,
87 Rue du Capitaine Julien (Rillieux-la-Pape),Rillieux la Pape,,
33 rue de la viabert Coordonnées GPS de l'emprise (format WGS84) : 4.865985988453652 45.76639975676112 ,Lyon 6ème,,
17 Montée de la Sarra (Lyon 5ème Arrondissement),Lyon 5ème,,
Entre le giratoire de la Porte de Lyon à Limonest et le Giratoire de la Chicotière à Dommartin via l'avenue de la Porte de Lyon et la Route Départementale 306,Dardilly,,
entre 2 et 6 Chemin de Maintenue (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
"- Route de Lyon, du Boulevard de Parilly à la Rue des Alouettes (Saint-Priest)",Venissieux,,
Avenue Félix Faure entre Rue Général Mouton-Duvernet et Rue Maurice Flandin (Lyon 3e Arrondissement),Lyon 3ème,,
Rue Chazière (Lyon 4e Arrondissement),Lyon 4ème,,
au 3 Avenue des Frères Lumière (Lyon 8ème Arrondissement),Lyon 8ème,,
Du 14 au 29 Rue Professeur Patel (Lyon 9e Arrondissement),Lyon 9ème,,
Passerelle de l'Amitié (Givors),Givors,,
au niveau du 52 Rue Carnot (Saint-Fons) pour la suppression du poste DP.,Saint Fons,,
34 chemin de Maintenue,Saint Germain Au Mont d'Or,,
91 Cours Gambetta (Lyon 3ème Arrondissement),Lyon 7ème,,
Terrasses Presqu'ile : Du 20  Quai Saint Antoine au 11  Quai de la Pêcherie puis la Place d'Albon et Rue des Bouquetiers à la Place Saint Nizier (LYON 2),Lyon 2ème,,
Impasse Chapuis (Bron),Bron,,
11 Rue Jean-Marc Bernard (Lyon 3e Arrondissement),Lyon 3ème,,
49 Cours Franklin Roosevelt (Lyon 6e Arrondissement),Lyon 6ème,,
233 Cours Lafayette,Lyon 6ème,,
Travaux sur la Rue Dubois Crance de l'intersection Avenue Edmond Locard et jusqu'à l'intersection avec Rue Louis Normand (Oullins) ,Oullins,,
"Grand Chemin de Fontaines (Fontaines-sur-Saône), au 1 Avenue Simon Rousseau (Fontaines-sur-Saône)",Fontaines Sur Saone,,
3 Rue Jean Macé,Saint Fons,,
11 Rue Saint Didier (Lyon 9ème Arrondissement),Lyon 9ème,,
4 Grande rue de Saint Clair (Caluire-et-Cuire),Caluire et Cuire,,
 Rue Sainte Marguerite (Sainte-Foy-lès-Lyon) Angle Rue Marcellin Blanc (Sainte-Foy-lès-Lyon) jusqu'au 4 Rue Sainte Marguerite (Sainte-Foy-lès-Lyon),Sainte Foy les Lyon,,
"Rue de la Rochette (Est-Ouest); Place des Palabres, Rue d'Avignon Portion Nord ; Rue de Valence Portion Sud et Rue de Falaise (Saint-Fons)",Saint Fons,,
39 Quai Arloing (Lyon 9e Arrondissement),Lyon 9ème,,
70 Quai Clemenceau (Caluire-et-Cuire),Caluire et Cuire,,
4b Rue Léon Fabre (Villeurbanne),Villeurbanne,,
"Rue des Granges, entre n°19bis et n°33 (LYON 5)",Lyon 5ème,,
35 Rue Artaud (Lyon 4e Arrondissement),Lyon 4ème,,
Avenue des Frères Montgolfier (Chassieu),Chassieu,,
Rue de la Gare (Irigny),Irigny,,
146 Boulevard Pinel (Lyon 8ème Arrondissement),Lyon 8ème,,
Enface du 24 Avenue du 8 Mai 1945 (Vaulx-en-Velin),Vaulx en Velin,,
Dans le carrefour Rue des Jardins / Rue de l'Epi de Blé (Villeurbanne).,Villeurbanne,,
 au 207 Avenue Barthélémy Buyer (Lyon 5ème Arrondissement),Lyon 5ème,,
162 Chemin du Grand Revoyet (Saint-Genis-Laval),Saint Genis Laval,,
"De l'Avenue Pierre Mendès France à Avenue Pierre Cot et Rue des Combats du 24 Août 1944  (Vénissieux, Saint-Priest)",Saint Priest,,
"Rue Louis Aulagne, Avenue du Rhône, Avenue Edmond Locard, et  Rue Dubois Crance, Oullins",Oullins,,
Place Louis Chazette (Lyon 1er Arrondissement) ,Lyon 1er,,
Avenue de Birmingham (Lyon 4e Arrondissement),Lyon 4ème,,
Rue Henri Legay (Villeurbanne),Villeurbanne,,
Rue Adamoli (Lyon 1er Arrondissement),Lyon 1er,,
"Travaux en sous-sol de l'avenue Valioud, de la rue du Château et du chemin de la Fournache (Sainte-Foy-lès-Lyon)",Sainte Foy les Lyon,,
36 Rue de la Poudrette angle rue de la Soie (Villeurbanne),Vaulx en Velin,,
"Avenue Valioud, au niveau de l'Eglise (Sainte-Foy-lès-Lyon)",Sainte Foy les Lyon,,
197 Chemin de Fontanières (La Mulatière),La Mulatiere,,
76 Rue Charton (Oullins),Oullins,,
43 Chemin du Grand Champ (La Tour-de-Salvagny),La Tour de Salvagny,,
30 Rue Aristide Briand (Couzon-au-Mont-d'Or),Couzon Au Mont d'Or,,
"Du 77 Avenue Jean Jaurès, au 3 Rue Gambetta (Saint-Priest)",Saint Priest,,
Route Départementale 51 (Quincieux),Quincieux,,
Du n°1 au n°19 et du N°2 au N°22 Rue Saint Jean (Villeurbanne) Avec raccordement sur le réseau au carrefour avec la Rue de l'Epi de Blé (Villeurbanne) Du n°52 au n°98 Rue du Canal  (Villeurbanne) avec raccordements sur le réseau Rue des jardins et Petite Rue du Roulet  (Villeurbanne),Villeurbanne,,
- Rue de l'Egalité : du Rond Point des Droits de l'Homme à Rue Claude Farrère (Saint-Priest) - Rue Claude Farrere (Saint-Priest) - Avenue Pierre Mendès France : de Rue Claude Farrere à Rue de la Cordière (Saint-Priest),Saint Priest,,
329 / 330 Rue Doyen Georges Chapas (Lyon 9e Arrondissement) PI 6203,Lyon 9ème,,
Face aux 24A et 24B Rue Alfred de Musset (Villeurbanne),Villeurbanne,,
Du 46 au 62 Rue Emile Zola (Saint-Fons),Saint Fons,,
120 avenue marechal de saxe,Lyon 3ème,,
"Carrefour Rue Saint Marc et Rue Guilloud, Lyon 3e Arrondissement",Lyon 3ème,,
24 Rue Jean Larrivé (Lyon 3).,Lyon 3ème,,
"3 Rue Phélypeaux, angle Rue du Tonkin (Villeurbanne)",Villeurbanne,,
"86 Rue Saint Pierre de Vaise, et face au 71 Rue Saint Pierre de Vaise (Lyon 9e Arrondissement)",Lyon 9ème,,
Route de Genas (Bron),Bron,,
Route d'Heyrieux (Mions),Mions,,
Allée Alfred de Vigny (Craponne),Craponne,,
94 Chemin des Ruettes (Charly),Charly,,
Rue Camille ROY entre Epargne - repos et Garibaldi : nouveau réseau + branchements Rue Camille ROY entre Garibaldi et Madelaine : abandon collecteur et comblement ,Lyon 7ème,,
ANGLE AVENUE DE MENIVAL Rue Nicolas Sicard (Lyon 5e Arrondissement),Lyon 5ème,,
Devant le 4 Rue Antonin Dumas (Vénissieux),Venissieux,,
"à côté 8 Rue Emile Dorel, à proximité Petite Rue des Collonges (Saint-Genis-Laval)",Saint Genis Laval,,
"11 rue Auguste Comte, et Place Charles-Marie Widor, Lyon 2e Arrondissement",Lyon 2ème,,
Chemin des Oliviers (Saint-Genis-Laval) Face au Chemin de Bellevue (Saint-Genis-Laval),Saint Genis Laval,,
"Route du Mas Rillier, Rue Hélène Furth (Rillieux-la-Pape)",Rillieux la Pape,,
Avenue de Gadagne (Saint-Genis-Laval),Saint Genis Laval,,
4 Rue du Château d'Eau (Saint-Genis-les-Ollières),Saint Genis Les Ollieres,,
105 Avenue des Frères Lumière (Genay),Genay,,
"Rue du Parc entre rue Carnot et la rue Parmentier, Rue Franck Serusclat entre rue Carnot et la rue Parmentier, 12 au 14 Avenue Aristide Briand, du 13 au 20 Avenue Albert Thomas, et du 23 au 27 Rue Etienne Dolet (Saint Fons)",Saint Fons,,
7 -9 Rue d'Inkermann (Villeurbanne),Villeurbanne,,
au 36 Quai Saint Vincent (Lyon 1er Arrondissement),Lyon 1er,,
Rue Lieutenant Colonel Girard (Lyon 7e Arrondissement),Lyon 7ème,,
"2 endroits ; 1 ère endroit : à côté 3 Rue Saint Simon (Lyon 9e Arrondissement), 2 ème endroit : Rue Saint Simon (Lyon 9ème Arrondissement) Angle Rue de Bourgogne (Lyon 9ème Arrondissement)",Lyon 9ème,,
- Avenue de Grande-Bretagne entre Pont WinstonChurchill et Boulevar des Belges (Lyon 6) - Boulevard des Belges entre Avenue de Grande-Bretagne et Rue Créqui (Lyon 6),Lyon 6ème,,
55 Impasse Le Pin (Saint-Genis-Laval),Saint Genis Laval,,
7 Rue d'Italie (Mions),Mions,,
Espaces verts sur Chemin de la Blanchisserie (Neuville-sur-Saône),Neuville sur Saone,,
Chemin de Pied Chardon (Caluire-et-Cuire),Caluire et Cuire,,
"Du 857 Chemin Pierre Drevet, au 1057 Chemin Pierre Drevet (Caluire-et-Cuire),  ",Caluire et Cuire,,
23 Rue des Etats Unis (Saint-Priest),Saint Priest,,
à côté  38 Cours d'Herbouville (Lyon 4ème Arrondissement) à proximité Pont Winston Churchill ,Lyon 4ème,,
au niveau du n°23 Rue Victor Basch (Villeurbanne),Villeurbanne,,
4 Rue Georges Chevallier (Vaulx-en-Velin),Vaulx en Velin,,
entre le 57 et le 67 Rue Docteur Edmond Locard (Lyon 5e Arrondissement)  PI 1378,Lyon 5ème,,
"- Du 76 Rue Georges Gouy, au 54 Rue Georges Gouy (Lyon 7ème Arrondissement),  -Du 40 Rue Challemel Lacour, au 1 Rue Challemel Lacour (Lyon 7ème Arrondissement) ",Lyon 7ème,,
29 Route de Genas (Chassieu),Chassieu,,
Au niveau du n°10 Rue Chevreul (Villeurbanne),Villeurbanne,,
Face au 6 Rue Lamartine (Lyon 3ème Arrondissement),Lyon 3ème,,
"Raccordement (1) 20 Rue Gillermin, Raccordement (2) 9 Rue des Étoiles et Conduite à raccorder nouvelle Rue Clémence Lortet dans ZAC (Bron)",Bron,,
19 - 24 Rue de Bonnel (Lyon 3e Arrondissement),Lyon 3ème,,
11A Rue Jean et Joséphine Peyri (Vaulx-en-Velin),Vaulx en Velin,,
"Route de Paris du Rond-Point Charles Nithard (Tassin-la-Demi-Lune) à Tassin, Avenue Franklin Roosevelt de la Route de Paris au Boulevard du Valvert (Écully), le Boulevard du Valvert de l'avenue Franklin Roosevelt  au Chemin du Vieux Moulin (Ecully) et les Chemins de la Vernique et du Vallon du Chemin du Vieux Moulin à l'avenue Victor Hugo (Tassin-la-Demi-Lune)",Ecully,,
"- Du 56 au 83 au Avenue Roger Salengro (Villeurbanne),  - Du 6 Rue Georges Courteline (Villeurbanne) à Avenue Roger Salengro,  - Du 10 Rue du Pérou (Villeurbanne) à Avenue Roger Salengro, - Du 22 Rue de la Doua (Villeurbanne) à Avenue Roger Salengro,  - Du 16 Rue Schmidt (Villeurbanne) à Avenue Roger Salengro",Villeurbanne,,
"- Quai Tilsit, de la Place Antonin Gourju et Pont Bonaparte au Square Janmot (Lyon 2e Arrondissement) - Quai Maréchal Joffre, du Square Janmot à la Place Gensoul  (Lyon 2e Arrondissement) - Rue Antoine de Saint Exupéry  (Lyon 2e Arrondissement) ",Lyon 2ème,,
"Du 84 Avenue Jean Jaurès en passant par le Boulevard de l'Europe en impactant le carrefour Rue Marius Chardon / Rue Paul Vaillant-Couturier puis le carrefour Rue Emile Zola / Boulevard de l'Europe, au carrefour Rue Voltaire / Boulevard de l'Europe en continuant au carrefour  Rue Jules Guesde / Boulevard de l'Europe jusqu'au giratoire Chemin des Mûriers / Boulevard de l'Europe en continuant sur la Route Départementale 315 en passant par le Chemin du Barrage jusqu'au giratoire avec l'Autoroute A7 de Marseille à Lyon (Oullins, Pierre-Bénite)",Pierre Benite,,
du 15 au 19 B Boulevard Monge (Meyzieu),Meyzieu,,
-Rue Germaine Tillion depuis carrefour avec Rue Roger Planchon (Vénissieux) -Rue Prosper Alfaric et Rue Maurice Thorez jusqu'au carrefour avec Avenue Jean Cagne (Vénissieux) ,Venissieux,,
"Du 12 Rue du Cluzel en passant par la Rue Gabriel Péri, Rue Eugène Peloux, Boulevard Laurent Gérin, Rue Emile Zola puis à proximité du 24 Boulevard du Docteur Coblod (Vénissieux)",Venissieux,,
"Du 11 Boulevard John-Fitzgerald Kennedy, Boulevard du Général de Gaulle et  Rue Francisque Jomard (Oullins)",Oullins,,
"Boulevard Yves Farge : Entre la Route de Lyon et la Rue Georges Politzer (Saint-Fons, Vénissieux)","Saint Fons, Venissieux",,
"Du 1 au 40 Rue du Maréchal Foch, Villeurbanne",Villeurbanne,,
Du 3 Rue Danielle Casanova à la Rue Gabriel Péri (Vénissieux),Venissieux,,
2 Rue Christian Lacouture (Bron),Bron,,
"- Du n°45 Rue des Selettes à Côte Berthaud (Irigny) - Du 1 au 12 Allée des Peupliers (Irigny) - Du 1 au 14 Rue de la Carrière (Irigny) - Carrefour Rue des Selettes / Côte Carmagnac, Carrefour Rue des Selettes / Côte Rousset et Carrefour Rue des Selettes / Côte Berthaud  (Irigny) ",Irigny,,
30 Cours Suchet (Lyon 2e Arrondissement),Lyon 2ème,,
"Du 2 au 20 Rue Emile Cheysson, du 2 au 20 Rue Alexandre Ribot, et du 1 au 5 Place Paul Strauss (Villeurbanne) ",Villeurbanne,,
Route de la Source (Genay),Genay,,
Route Départementale 16 (Neuville-sur-Saône),Neuville sur Saone,,
Avenue Maréchal Foch (Lyon 6e Arrondissement),Lyon 6ème,,
"Du 41 Rue Pierre Curie (Oullins), au 21 Rue Jean Macé (Oullins)",Oullins,,
-Du n° 7 au n° 158 Rue Charolaise des Charmes (Grigny)  - Lotissement Bard (Grigny) - Du n° 1 au n° 16 Montée des Fruitiers  (Grigny),Grigny,,
"Rue Saint Exupéry, Vénissieux",Venissieux,,
"Du 46 Avenue Félix Faure, au 73 Avenue Félix Faure (Sathonay-Camp), et du 3 Montée de l'Ouest, au 74 Avenue Félix Faure (Sathonay-Camp)",Sathonay Camp,,
- Du 40 au 178 Roue de Strasbourg (Rilleux la pape) - Traverser au 264 Route de Strasbourg (Rillieux la pape) - Du 370 au 394 Route de Strasbourg (Rillieux la pape) - Du 2 au 8 Route de Genève (Rillieux la pape),Rillieux la Pape,,
Face au 3 Allée Pierre de Coubertin (Lyon 7e Arrondissement)  Entrée du Parc de Gerland,Lyon 7ème,,
Rue de l'Antiquaille (Lyon 5e Arrondissement) travaux borne velov,Lyon 5ème,,
"8 endroits ; 1 ère endroit : Face au 66 Route de Mornant, 2 ème endroit : à côté 64 Route de Mornant, 3 ème endroit au 8 ème endroit : à côté 67 Route de Mornant (Givors)",Givors,,
"De la moitié nord de la passerelle de la Paix; voie sans dénomination jusqu'au bord du Rhône, puis voie verte sans dénomination jusqu'à Avenue de Poumeyrol  (Caluire-Et-Cuire)",Caluire et Cuire,,
"Boulevard de l'Europe, et Chemin de Montmein (Oullins) (Le tracé débute à l’entrée de la faculté de médecine, située sur le Chemin de Montmein. Il se divise ensuite en deux branches empruntant simultanément le Boulevard de l’Europe (Oullins) La branche de gauche s’arrête au 3 Boulevard de l’Europe, à Oullins, tandis que la branche de droite poursuit sa course jusqu’au 2 Boulevard de l’Europe, également à Oullins.",Oullins,,
"Plusieurs Grilles à créer dans le cadre de l'aménagement de l'Avenue des Frères Lumière aux carrefour avec les voies sécantes : Place Ambroise Courtois - Rue du Premier Film, 130 Avenue des Frères Lumière, Rue Professeur Paul Sisley angle Avenue des Frères Lumière, Rue Villon angle Avenue des Frères Lumière, Rue des Tuiliers angle Avenue des Frères Lumière, et Rue Henri Pensier angle Avenue des Frères Lumière (Lyon 8e Arrondissement)  ",Lyon 8ème,,
"3 endroits ; 1 ère endroit : à côté  14 Rue Nérard (Lyon 9ème Arrondissement), 2 ème endroit : Rue Nérard (Lyon 9ème Arrondissement) à proximité  Rue de Bourgogne (Lyon 9ème Arrondissement), 3 ème endroit : Face au 17 Rue de Bourgogne (Lyon 9ème Arrondissement) à l'Angle Rue Nérard (Lyon 9ème Arrondissement)",Lyon 9ème,,
"-Quai Jayr, entre Rue Roquette et Rue de Saint-Cyr/ Rue Roger Salengro (Lyon 9e Arrondissement) -Rue de la Corderie, du Quai Jayr à Rue Bourgogne, (Lyon 9e Arrondissement) -Rue de Bourgogne	de la Rue de la Corderie à le Rue Saint Simon (Lyon 9e Arrondissement)	 -Rue Mouillard entre le N°12 Rue Mouillard la Montée de Balement, (Lyon 9e Arrondissement)	 -Rue Nérard, (Lyon 9e Arrondissement) -Rue Marietton, (Lyon 9e Arrondissement) ",Lyon 9ème,,
Chemin du Vallon et Chemin de la Vernique (Tassin-la-Demi-Lune),Tassin la Demi Lune,,
Chemin du Tison (Albigny-sur-Saône),Albigny sur Saone,,
-Rue Edouard Aynard  (entre les rues Lafontaine et Rue Frédéric Passy) à Villeurbanne -Rue Frédéric Passy (entre les Rues Edouard Aynard et Rue Richelieu) à Villeurbanne -Rue Richelieu (entre les rues Frédéric Passy et Rue Lafontaine) à Villeurbanne -Rue Lafontaine  entre les rues Richelieu et Rue Edouard Aynard) à Villeurbanne,Villeurbanne,,
37 Rue des Farges (Lyon 5ème Arrondissement),Lyon 5ème,,
En face du 8 Chemin de la Mouche (Saint-Genis-Laval),Saint Genis Laval,,
Face au 18 Avenue Général de Gaulle (Champagne-au-Mont-d'Or),Champagne au Mont d'Or,,
31 Rue Duguesclin (Lyon 6ème Arrondissement),Lyon 6ème,,
29 Rue Duguesclin (Lyon 6ème Arrondissement),Lyon 6ème,,
Avenue de France (Décines-Charpieu),Decines Charpieu,,
Rue Elisée Reclus (Décines-Charpieu),Decines Charpieu,,
"Du 69 Chemin de Pommier, au 39 Rue Alexis Petit (Meyzieu)",Meyzieu,,
Rue de la Gare (Meyzieu),Meyzieu,,
18c Chemin de la Buchette (Lissieu),Lissieu,,
Traversé de chaussée sur Chemin des Bruyères et pose sur trottoir Avenue des Taillis (Corbas),Corbas,,
9 Avenue Douaumont (Lyon 9e Arrondissement),Lyon 9ème,,
 en face 2 Place Jules Ferry (Lyon 6e Arrondissement),Lyon 6ème,,
189 rue Garibaldi,Lyon 3ème,,
"2 endroits ; 1 ère endroit : à côté Face au 41 jusqu'à côté Face au 85 Rue Pierre Sémard à proximité Rue du Bac (Oullins), 2 ème endroit : à côté Face au 87 jusque Face au 99 Rue Pierre Sémard à proximité Avenue Jean Jaurès (Oullins)",Oullins,,
Face au 2 jusqu'à côté  8 Rue du Bac (Oullins),Oullins,,
"Angle Rue du Bac, et Avenue Jean Jaurès, jusqu' à l'Angle Rue Pierre Sémard et Avenue Jean Jaurès (Oullins)",Oullins,,
à côté 24 jusqu'à côté 38 Avenue Jean Jaurès (Oullins) à proximité Rue Louis Normand (Oullins),Oullins,,
au 22 Rue André Bonin (Lyon 4ème Arrondissement) PI 8199,Lyon 4ème,,
Avenue Jean Moulin à proximité entre la Rue Stanislas Bozi et Avenue du 8 Mai 1945 (Vaulx-en-Velin),Vaulx en Velin,,
"du 2 au 12 Rue de Bruxelles, 14 au 16 Rue du Boulevard et Carrefour Rue Marguerite et Rue du  Boulevard (Villeurbanne)  ",Villeurbanne,,
Face au 370 Route de Genas (Bron) à proximité Rue Guillermin (Bron),Bron,,
Rue Saint Jean de Dieu : Entre la Rue de Surville et le Boulevard Jules Carteret (Lyon 7e Arrondissement),Lyon 7ème,,
Esplanade Jacques Duclos au Avenue Gaston Monmousseau (Vaulx-en-Velin) à proximité Avenue d'Orcha (Vaulx-en-Velin),Vaulx en Velin,,
à côté 11 Rue du Rail (Vaulx-en-Velin) jusqu' au 3 à 19  Avenue Bataillon Carmagnole Liberté (Vaulx-en-Velin) jusqu'au 3 Allée du Textile (Vaulx-en-Velin),Vaulx en Velin,,
Début Avenue B Cité Berliet angle Avenue Henri Germain (Saint Priest),Saint Priest,,
12 Rue Montesquieu (Lyon 7ème Arrondissement),Lyon 7ème,,
"Face au 1 Avenue du Doyen Jean Lépine, à proximité Rue du Vinatier (Bron)",Bron,,
Rue Pierre Brossolette (Vénissieux),Venissieux,,
Face au 19 jusque Face  au 12 à 14A Chemin de Parenty (Neuville-sur-Saône),Neuville sur Saone,,
94 Boulevard Pinel (Lyon 3ème Arrondissement),Bron,,
95 Avenue de Verdun (Meyzieu),Meyzieu,,
211 Avenue Paul Santy (Lyon 8ème Arrondissement),Lyon 8ème,,
Rue Marcel Therras (Décines-Charpieu),Decines Charpieu,,
Chemin de Chassieu à Meyzieu (Meyzieu) : de Rue du Rambion à Rue de Fromentaux (Meyzieu),Meyzieu,,
Rond-Point de la Dombes (Genay),Genay,,
Chemin de Tache Velin et Allée de Tache Velin (Vénissieux),Venissieux,,
Du 414 à 444 Rue Marius Donjon (Lyon 9e Arrondissement),Lyon 9ème,,
- Avenue Bataillon Carmagnole Liberté (Entre Avenue Roger Salengro et Allée du Stade) (Vaulx-en-Velin) - Allée du Textile (Sur 50 à partir de l'Avenue Bataillon Carmagnole Liberté) (Vaulx-en-Velin) - Allée du Stade (Sur 20m à partir de l'Avenue Bataillon Carmagnole Liberté) (Vaulx-en-Velin),Vaulx en Velin,,
"Rue Docteur Bouchut (Lyon 3e Arrondissement) (pratiquement dans l'axe de la Rue du Lac, sur le trottoir, derrière la piste cyclable, à proximité de 2 accès à des parking souterrain. PI 345",Lyon 3ème,,
Boulevard des Loisirs - Rillieux la Pape,Rillieux la Pape,,
"Rue Auguste Renoir, Impasse Georges Danton, Rue Bernard Buffet, Rue des Mésanges, Avenue de la Villerme, Rue des Pinsons et Rue Paul Cézanne (Corbas)",Corbas,,
10 Rue des Albatros en traversée de voie (Mions),Mions,,
Rue du Parc et Rue des Essarts (Bron) ,Bron,,
"3 endroits ; 1 ère endroit : Face au 20 Rue André Lassagne, 2 ème endroit  : Face au 14 Rue André Lassagne, 3 ème endroit : Face  au 10 Rue André Lassagne (Caluire-et-Cuire)",Caluire et Cuire,,
24 Rue Alfred de Musset (Lyon 3ème Arrondissement),Lyon 3ème,,
"2 endroits ; 1 ère endroit : à côté  2 Rue de la Corderie (Lyon 9ème Arrondissement) à proximité Rue Roger Salengro (Lyon 9ème Arrondissement), 2 ème endroit : à côté 6 Rue Roger Salengro (Lyon 9ème Arrondissement) à proximité Rue de la Corderie (Lyon 9ème Arrondissement)",Lyon 9ème,,
Avenue Général Leclerc (Rillieux-la-Pape),Rillieux la Pape,,
12 rue de la Soie,Villeurbanne,,
Zone du projet,Grigny,,
"au 275 Rue Garibaldi  et au 284 Rue Garibaldi (Lyon 3ème Arrondissement),  ",Lyon 3ème,,
10 Allée Irène Joliot Curie (Saint-Priest),Saint Priest,,
Rue Francine Fromont et Avenue Karl Marx  (Vaulx-en-Velin),Vaulx en Velin,,
"2 endroits ; 1 ère endroit : Face au 32 Route de Collonges, 2 ème endroit : à côté 33 Route de Collonges (Saint-Romain-au-Mont-d'Or)",Saint Romain Au Mont d'Or,,
74 Route de Brignais (Saint-Genis-Laval),Saint Genis Laval,,
Impasse des Brosses (Charbonnières-les-Bains),Charbonnieres les Bains,,
23 Boulevard des Droits de l'Homme (Vaulx-en-Velin),Vaulx en Velin,,
7 Rue Charlie Chaplin (Villeurbanne),Villeurbanne,,
Rue Jacques Monod (Vaulx-en-Velin),Vaulx en Velin,,
Du 8 au 10C Avenue Anatole France (Givors),Givors,,
Rond-Point des Monts d'Or (Champagne-au-Mont-d'Or) à proximité Chemin du Tronchon (Champagne-au-Mont-d'Or),Champagne au Mont d'Or,,
Chemin de la Chapelle (Rillieux-la-Pape),Rillieux la Pape,,
24B Rue Alfred de Musset (Villeurbanne),Villeurbanne,,
33 Rue des Battières (Lyon 5ème Arrondissement),Lyon 5ème,,
1210 chemin du Pelet (Vernaison),Vernaison,,
Au niveau du n°3-9-23-31 Rue de Venise (Villeurbanne),Villeurbanne,,
"38 Rue Pierre Mendès France, au 3 Rue Hô Chi Minh, et au 11 Avenue Paul Marcellin (Vaulx-en-Velin) ",Vaulx en Velin,,
du 1 au 4 et traversée face au N° 4 Rue du 8 Mai 1945 (sur trottoir avec réfection de 10m par 6.5m)(Mions)  (lageur chaussée vu avec M. GAYE sur place). raccordement sur allée du chateau hors emprise neuve. chantier réalisé au camion aspirateur.,Mions,,
"Du 13 Place des Terreaux (Lyon 1er Arrondissement), au 14 Rue Constantine (Lyon 1er Arrondissement)",Lyon 1er,,
Rue des Albatros (Mions),Mions,,
au 9 Rue Jean-Baptiste Say (Lyon 1er Arrondissement),Lyon 1er,,
52 Rue Carnot (Saint-Fons),Saint Fons,,
127 Avenue Pierre Brossolette (Bron),Bron,,
au 123 Avenue Pierre Dumond (Craponne),Craponne,,
3 Rue Jean-Elysée Dupuy (Champagne-au-Mont-d'Or),Champagne au Mont d'Or,,
"2, Place Ennemond Fousseret	(Lyon 5e Arrondissement)",Lyon 5ème,,
13 Rue Jean Grolier (Lyon 7e Arrondissement),Lyon 7ème,,
à côté  3 jusqu'au 2 Rue du Parc (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
Chemin du Cloiseau (Rillieux-la-Pape),Rillieux la Pape,,
"5 endroits ; 1 ère endroit : à côté 90 Rue Voltaire, 2 ème endroit : Face au 91 Rue Voltaire, 3 ème et 4 ème endroits : à côté 89 Rue Voltaire, 5 ème endroit : Face au 86 Rue Voltaire (Pierre-Bénite)",Pierre Benite,,
174 Avenue Berthelot (Lyon 7ème Arrondissement),Lyon 7ème,,
au 17 Avenue Ferdinand Buisson (Bron),Bron,,
En face du 2 au 8  Rue Alfred de Musset (Villeurbanne),Villeurbanne,,
"Du 115 Route de Strasbourg à en face du 40 Route de Strasbourg (Caluire-et-Cuire, Rillieux-la-Pape)",Caluire et Cuire,,
Du 34 au 20 Rue Docteur Horand	(Lyon 9e Arrondissement),Lyon 9ème,,
"2 endroits ; 1 ère endroit : Face au 189 Chemin du Bac à Traille, 2 ème endroit : à côté 189 Chemin du Bac à Traille (Caluire-et-Cuire)",Caluire et Cuire,,
107 Grande rue de Saint Clair (Caluire-et-Cuire),Caluire et Cuire,,
Face au 21 Rue du Château d'Eau (Saint-Genis-les-Ollières),Saint Genis Les Ollieres,,
"Angle Rue Jules Cambon, et Avenue Paul Santy (Lyon 8ème Arrondissement)",Lyon 8ème,,
Face  au 61 jusqu'au 75 Rue Clément Marot (Lyon 7ème Arrondissement),Lyon 7ème,,
Face au 101 Rue Voltaire (Pierre-Bénite),Pierre Benite,,
Esplanade Nelson Mandela (Lyon 3e Arrondissement),Lyon 3ème,,
17 Rue de Pressensé (Grigny),Grigny,,
54 Avenue Rosa Parks (Lyon 9e Arrondissement),Lyon 9ème,,
270 Rue André Philip (Lyon 3ème Arrondissement),Lyon 3ème,,
11 Rue de la République (Chassieu),Chassieu,,
"18 Rue Marceau, angle Grande Rue  (Oullins)",Oullins,,
entre 26 et 28 Rue du Mail (Lyon 4e Arrondissement),Lyon 4ème,,
au 16 Rue Saint Jean (Lyon 5ème Arrondissement),Lyon 5ème,,
"3 endroits ; 1 ère endroit : Face au 111 Rue Francis de Pressensé (Villeurbanne), 2 ème endroit : Rue Mauvert (Villeurbanne) Angle Rue Francis de Pressensé (Villeurbanne), 3 ème endroit : Face au 85 Rue Francis de Pressensé (Villeurbanne)",Villeurbanne,,
156 Avenue Lacassagne (Lyon 3e Arrondissement),Lyon 3ème,,
Face au 13 Rue Combabillon (Décines-Charpieu) à proximité Rue Marie Marvingt (Décines-Charpieu),Decines Charpieu,,
