adresse,commune,lat_t,lon_t
De façade à façade rue Brunel entre la rue Salengro et la rue Romain Rolland et une frange de la place Cavellini,Vaulx en Velin,,
"Du 4 Route de Strasbourg (Rillieux-la-Pape), au 103 Route de Strasbourg (Caluire-et-Cuire)",Rillieux la Pape,,
Rue Paul Cazeneuve (Lyon 8e Arrondissement),Lyon 8ème,,
Rue Pasteur (Fontaines-sur-Saône),Fontaines Sur Saone,,
"Montée Roy de la rue Berthelot à l'avenue des Marronniers et l'avenue du Camp (Fontaines-sur-Saône), puis l'avenue Général de Gaulle jusqu'à la rue Saint-Exupéry (Caluire-et-Cuire)",Fontaines Sur Saone,,
entre le n°38 et le n°42 Boulevard Eugene Deruelle (Lyon 3e Arrondissement),Lyon 3ème,,
"- Place d'Arsonval, Lyon 3e Arrondissement - Rue Professeur Calmette entre Avenue des Frères Lumière et avenue Albert Thomas, Lyon 8e Arrondissement - Avenue des Frères Lumière entre Rue Professeur Calmette et rue d'Arsonval, Lyon 8e Arrondissement - Avenue Rockefeller entre Place d'Arsonval et Rue Viala, Lyon 3e et 8e Arrondissement,",Lyon 8ème,,
202 Avenue Paul Santy (Lyon 8e Arrondissement),Lyon 8ème,,
Boulevard Pinel (Bron),Lyon 8ème,,
"à côté 18b Avenue du Mont Blanc, jusqu'à côté 14 Rue Ronsard (Rillieux-la-Pape)",Rillieux la Pape,,
53 Rue Guilloux (Saint-Genis-Laval),Saint Genis Laval,,
Face au 21 jusqu'au 34 Rue Poizat (Villeurbanne),Villeurbanne,,
44b à 48 + 43a à 43c Rue Louis Duclos (Vaulx-en-Velin),Vaulx en Velin,,
16 Chemin des Perdrix PI 9649,Rillieux la Pape,,
10 Avenue Général Brosset (Tassin-la-Demi-Lune),Tassin la Demi Lune,,
Montée des Génovefains (Lyon 5e Arrondissement),Lyon 5ème,,
13 Rue Persoz (Villeurbanne),Villeurbanne,,
Rue Batonnier Jacquier / Rue du Béguin (Lyon 7e Arrondissement) PI 1291,Lyon 7ème,,
