numero;intervenant;nature_chantier;nature_travaux;etat;date_debut;date_fin;mesures_police;last_update;adresse;commune;code_insee;contact_tel;contact_mail;contact_url;gid
202512543;GrDF - Ingénierie;Branchements gaz < 25 ml;Renforcement branchement gaz  < 25 ml;Validé;2026-01-12;2026-01-19;;2025-12-16 15:02:03.992855+01:00;24B Rue Alfred de Musset (Villeurbanne);Villeurbanne;69266;09 69 36 35 34;;;200441
202512544;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-05;2026-01-23;;2025-12-16 15:02:03.202917+01:00;33 Rue des Battières (Lyon 5ème Arrondissement);Lyon 5ème;69385;;;www.enedis.fr/aide_contact;200037
202512553;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-06;2026-01-13;Circulation interdite, Restriction de jour;2025-12-16 15:02:03.099884+01:00;1210 chemin du Pelet (Vernaison);Vernaison;69260;;;www.enedis.fr/aide_contact;200038
202512630;DCE / RT / Rive Gauche;Émergences et autres équipements d'assainissement;Remise à niveau / entretien des tampons et émergences d'assainissement;Validé;2025-11-27;2025-12-31;;2025-12-16 15:02:03.975345+01:00;Au niveau du n°3-9-23-31 Rue de Venise (Villeurbanne);Villeurbanne;69266;04 28 67 55 00;;;199368
202512634;TSU / TE / VTPE-E2;Création et entretien de trottoir;Aménagements / reprise de bordures, ...;Validé;2026-01-05;2026-03-31;;2025-12-16 15:02:03.299894+01:00;38 Rue Pierre Mendès France, au 3 Rue Hô Chi Minh, et au 11 Avenue Paul Marcellin (Vaulx-en-Velin) ;Vaulx en Velin;69256;04 28 67 51 40;;;200354
202512712;GrDF - Ingénierie;Construction, renouvellement  et réparation réseau gaz;Construction de réseau et branchement gaz;Validé;2025-12-05;2025-12-25;Circulation alternée, Restriction de jour, Restriction de nuit, Stationnement interdit, Trottoir interdit;2025-12-16 15:02:03.994921+01:00;du 1 au 4 et traversée face au N° 4 Rue du 8 Mai 1945 (sur trottoir avec réfection de 10m par 6.5m)(Mions)  (lageur chaussée vu avec M. GAYE sur place). raccordement sur allée du chateau hors emprise neuve. chantier réalisé au camion aspirateur.;Mions;69283;09 69 36 35 34;;;199580
202512730;GrDF - Ingénierie;Construction, renouvellement  et réparation réseau gaz;Aménagement, renouvellement réseau gaz avec branchement;Validé;2026-01-01;2026-02-20;;2025-12-16 15:02:03.972483+01:00;Du 13 Place des Terreaux (Lyon 1er Arrondissement), au 14 Rue Constantine (Lyon 1er Arrondissement);Lyon 1er;69381;09 69 36 35 34;;;200236
202512739;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2025-12-29;2026-02-06;;2025-12-16 15:02:03.299194+01:00;Rue des Albatros (Mions);Mions;69283;09 69 39 69 99;;;199736
202512741;GrDF - Ingénierie;Construction, renouvellement  et réparation réseau gaz;Intervention sur réseau gaz;Validé;2026-01-13;2026-01-28;;2025-12-16 15:02:03.343301+01:00;au 9 Rue Jean-Baptiste Say (Lyon 1er Arrondissement);Lyon 1er;69381;09 69 36 35 34;;;200447
202512744;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau HTA;Validé;2026-01-05;2026-01-14;;2025-12-16 15:02:03.798670+01:00;52 Rue Carnot (Saint-Fons);Saint Fons;69199;;;www.enedis.fr/aide_contact;200049
202512784;ENEDIS;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Validé;2025-12-17;2025-12-24;;2025-12-16 15:02:03.901498+01:00;127 Avenue Pierre Brossolette (Bron);Bron;69029;;;www.enedis.fr/aide_contact;199592
202512795;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Renouvellement branchement Eau Potable < 25ml;Validé;2025-12-08;2025-12-26;;2025-12-16 15:02:03.634355+01:00;au 123 Avenue Pierre Dumond (Craponne);Craponne;69069;09 69 39 69 99;;;199944
202512821;GrDF - Ingénierie;Branchements gaz < 25 ml;Suppression branchement gaz  < 25 ml;Validé;2026-01-05;2026-01-14;;2025-12-16 15:02:03.455467+01:00;3 Rue Jean-Elysée Dupuy (Champagne-au-Mont-d'Or);Champagne au Mont d'Or;69040;09 69 36 35 34;;;200054
202512845;DCE / RT / Rive Droite Sud;Branchements d'assainissement < à 25 ml;Réparation branchement d'assainissement  < 25 ml;Validé;2025-12-01;2025-12-26;;2025-12-16 15:02:03.116515+01:00;2, Place Ennemond Fousseret	(Lyon 5e Arrondissement);Lyon 5ème;69385;04 28 67 55 20;;;200645
202512890;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-08;2026-01-19;;2025-12-16 15:02:03.827793+01:00;13 Rue Jean Grolier (Lyon 7e Arrondissement);Lyon 7ème;69387;;;www.enedis.fr/aide_contact;200317
202512909;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Construction de branchement < 25 ml (télécom ou video);Validé;2025-12-17;2026-01-23;;2025-12-16 15:02:03.356687+01:00;à côté  3 jusqu'au 2 Rue du Parc (Saint-Germain-au-Mont-d'Or);Saint Germain Au Mont d'Or;69207;;;;199949
202512918;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Ouvert;2025-12-16;2025-12-23;;2025-12-16 15:02:03.142426+01:00;Chemin du Cloiseau (Rillieux-la-Pape);Rillieux la Pape;69286;;;www.enedis.fr/aide_contact;199801
202512960;ORANGE SA;Lignes aériennes TELECOM, RMT ET VIDEO;Pose et entretien de supports de ligne aérienne (télécom ou video);Validé;2025-12-19;2026-01-26;;2025-12-16 15:02:03.514213+01:00;"5 endroits ; 1 ère endroit : à côté 90 Rue Voltaire, 2 ème endroit : Face au 91 Rue Voltaire, 3 ème et 4 ème endroits : à côté 89 Rue Voltaire, 5 ème endroit : Face au 86 Rue Voltaire (Pierre-Bénite)";Pierre Benite;69152;;;;200180
202512980;ENEDIS;Branchements réseau électrique < 25 ml;Renforcement de branchement électrique < 25 ml;Validé;2026-01-13;2026-01-20;;2025-12-16 15:02:03.195449+01:00;174 Avenue Berthelot (Lyon 7ème Arrondissement);Lyon 7ème;69387;;;www.enedis.fr/aide_contact;200453
202512990;ENEDIS;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Validé;2026-01-09;2026-01-16;;2025-12-16 15:02:03.660440+01:00;au 17 Avenue Ferdinand Buisson (Bron);Bron;69029;;;www.enedis.fr/aide_contact;200128
202513017;ORANGE SA;Branchements réseau > 25 ml TELECOM, RMT ET VIDEO;Construction de branchement > 25 ml (télécom ou video);Validé;2025-12-08;2026-01-16;;2025-12-16 15:02:03.570745+01:00;En face du 2 au 8  Rue Alfred de Musset (Villeurbanne);Villeurbanne;69266;;;;200218
