Date;Adresse;Flux;Direction;Genre;Véhicule;Heure début;Heure fin;Nombre comptés
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Féminin;Cargo/Longtail/Remorque;07:30:00;07:45:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Féminin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Enfant seul;Vélo;07:30:00;07:45:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Masculin;Vélo;07:30:00;07:45:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Masculin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Masculin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Féminin;Vélo;07:30:00;07:45:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Féminin;Cargo/Longtail/Remorque;07:30:00;07:45:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Féminin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Enfant seul;Vélo;07:30:00;07:45:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Masculin;Vélo;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Masculin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Masculin;Trotinette/EDPM;07:30:00;07:45:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Féminin;Vélo;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Féminin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Féminin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Enfant seul;Vélo;07:30:00;07:45:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Masculin;Vélo;07:30:00;07:45:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Masculin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Masculin;Trotinette/EDPM;07:30:00;07:45:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Féminin;Vélo;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Féminin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Féminin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Baudrand;Enfant seul;Vélo;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Masculin;Vélo;07:30:00;07:45:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Masculin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Masculin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Féminin;Vélo;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Féminin;Cargo/Longtail/Remorque;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Féminin;Trotinette/EDPM;07:30:00;07:45:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Pasteur;Enfant seul;Vélo;07:30:00;07:45:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Masculin;Vélo;07:45:00;08:00:00;3
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Masculin;Cargo/Longtail/Remorque;07:45:00;08:00:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Masculin;Trotinette/EDPM;07:45:00;08:00:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Féminin;Vélo;07:45:00;08:00:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Féminin;Cargo/Longtail/Remorque;07:45:00;08:00:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Féminin;Trotinette/EDPM;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Caluire;Enfant seul;Vélo;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Masculin;Vélo;07:45:00;08:00:00;2
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Masculin;Cargo/Longtail/Remorque;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Masculin;Trotinette/EDPM;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Féminin;Vélo;07:45:00;08:00:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Féminin;Cargo/Longtail/Remorque;07:45:00;08:00:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Féminin;Trotinette/EDPM;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de Lyon;Enfant seul;Vélo;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Masculin;Vélo;07:45:00;08:00:00;1
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Masculin;Cargo/Longtail/Remorque;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Masculin;Trotinette/EDPM;07:45:00;08:00:00;0
10/06/2025;Margnolles / Oratoire;Margnolles;Venant de l'Oratoire;Féminin;Vélo;07:45:00;08:00:00;2
