channel_id;counter_id;start_datetime;end_datetime;count
100029813;;2023-04-01 01:00:00+02:00;2023-04-01 02:00:00+02:00;0
100029813;;2023-04-01 00:00:00+02:00;2023-04-01 01:00:00+02:00;0
100029813;;2023-03-31 23:00:00+02:00;2023-04-01 00:00:00+02:00;0
100029813;;2023-03-31 22:00:00+02:00;2023-03-31 23:00:00+02:00;0
100029813;;2023-03-31 21:00:00+02:00;2023-03-31 22:00:00+02:00;1
100029813;;2023-03-31 20:00:00+02:00;2023-03-31 21:00:00+02:00;3
100029813;;2023-03-31 19:00:00+02:00;2023-03-31 20:00:00+02:00;3
100029813;;2023-03-31 18:00:00+02:00;2023-03-31 19:00:00+02:00;21
100029813;;2023-03-31 17:00:00+02:00;2023-03-31 18:00:00+02:00;34
100029813;;2023-03-31 16:00:00+02:00;2023-03-31 17:00:00+02:00;51
100029813;;2023-03-31 15:00:00+02:00;2023-03-31 16:00:00+02:00;53
100029813;;2023-03-31 14:00:00+02:00;2023-03-31 15:00:00+02:00;46
100029813;;2023-03-31 13:00:00+02:00;2023-03-31 14:00:00+02:00;18
100029813;;2023-03-31 12:00:00+02:00;2023-03-31 13:00:00+02:00;50
100029813;;2023-03-31 11:00:00+02:00;2023-03-31 12:00:00+02:00;44
100029813;;2023-03-31 10:00:00+02:00;2023-03-31 11:00:00+02:00;59
100029813;;2023-03-31 09:00:00+02:00;2023-03-31 10:00:00+02:00;42
100029813;;2023-03-31 08:00:00+02:00;2023-03-31 09:00:00+02:00;13
100029813;;2023-03-31 07:00:00+02:00;2023-03-31 08:00:00+02:00;15
100029813;;2023-03-31 06:00:00+02:00;2023-03-31 07:00:00+02:00;0
100029813;;2023-03-31 05:00:00+02:00;2023-03-31 06:00:00+02:00;0
100029813;;2023-03-31 04:00:00+02:00;2023-03-31 05:00:00+02:00;0
100029813;;2023-03-31 03:00:00+02:00;2023-03-31 04:00:00+02:00;0
100029813;;2023-03-31 02:00:00+02:00;2023-03-31 03:00:00+02:00;0
100029813;;2023-03-31 01:00:00+02:00;2023-03-31 02:00:00+02:00;0
100029813;;2023-03-31 00:00:00+02:00;2023-03-31 01:00:00+02:00;0
100029813;;2023-03-30 23:00:00+02:00;2023-03-31 00:00:00+02:00;0
100029813;;2023-03-30 22:00:00+02:00;2023-03-30 23:00:00+02:00;1
100029813;;2023-03-30 21:00:00+02:00;2023-03-30 22:00:00+02:00;2
100029813;;2023-03-30 20:00:00+02:00;2023-03-30 21:00:00+02:00;8
100029813;;2023-03-30 19:00:00+02:00;2023-03-30 20:00:00+02:00;36
100029813;;2023-03-30 18:00:00+02:00;2023-03-30 19:00:00+02:00;53
100029813;;2023-03-30 17:00:00+02:00;2023-03-30 18:00:00+02:00;55
100029813;;2023-03-30 16:00:00+02:00;2023-03-30 17:00:00+02:00;50
100029813;;2023-03-30 15:00:00+02:00;2023-03-30 16:00:00+02:00;50
100029813;;2023-03-30 14:00:00+02:00;2023-03-30 15:00:00+02:00;18
100029813;;2023-03-30 13:00:00+02:00;2023-03-30 14:00:00+02:00;45
100029813;;2023-03-30 12:00:00+02:00;2023-03-30 13:00:00+02:00;38
100029813;;2023-03-30 11:00:00+02:00;2023-03-30 12:00:00+02:00;36
100029813;;2023-03-30 10:00:00+02:00;2023-03-30 11:00:00+02:00;39
100029813;;2023-03-30 09:00:00+02:00;2023-03-30 10:00:00+02:00;48
100029813;;2023-03-30 08:00:00+02:00;2023-03-30 09:00:00+02:00;14
100029813;;2023-03-30 07:00:00+02:00;2023-03-30 08:00:00+02:00;4
100029813;;2023-03-30 06:00:00+02:00;2023-03-30 07:00:00+02:00;1
100029813;;2023-03-30 05:00:00+02:00;2023-03-30 06:00:00+02:00;0
100029813;;2023-03-30 04:00:00+02:00;2023-03-30 05:00:00+02:00;0
100029813;;2023-03-30 03:00:00+02:00;2023-03-30 04:00:00+02:00;0
100029813;;2023-03-30 02:00:00+02:00;2023-03-30 03:00:00+02:00;0
100034428;;2023-04-06 01:00:00+02:00;2023-04-06 02:00:00+02:00;7
100034428;;2023-04-06 00:00:00+02:00;2023-04-06 01:00:00+02:00;23
100034428;;2023-04-05 23:00:00+02:00;2023-04-06 00:00:00+02:00;47
100034428;;2023-04-05 22:00:00+02:00;2023-04-05 23:00:00+02:00;53
100034428;;2023-04-05 21:00:00+02:00;2023-04-05 22:00:00+02:00;42
100034428;;2023-04-05 20:00:00+02:00;2023-04-05 21:00:00+02:00;71
100034428;;2023-04-05 19:00:00+02:00;2023-04-05 20:00:00+02:00;139
100034428;;2023-04-05 18:00:00+02:00;2023-04-05 19:00:00+02:00;136
100034428;;2023-04-05 17:00:00+02:00;2023-04-05 18:00:00+02:00;133
100034428;;2023-04-05 16:00:00+02:00;2023-04-05 17:00:00+02:00;88
100034428;;2023-04-05 15:00:00+02:00;2023-04-05 16:00:00+02:00;91
100034428;;2023-04-05 14:00:00+02:00;2023-04-05 15:00:00+02:00;66
100034428;;2023-04-05 13:00:00+02:00;2023-04-05 14:00:00+02:00;68
100034428;;2023-04-05 12:00:00+02:00;2023-04-05 13:00:00+02:00;73
100034428;;2023-04-05 11:00:00+02:00;2023-04-05 12:00:00+02:00;50
100034428;;2023-04-05 10:00:00+02:00;2023-04-05 11:00:00+02:00;47
100034428;;2023-04-05 09:00:00+02:00;2023-04-05 10:00:00+02:00;91
100034428;;2023-04-05 08:00:00+02:00;2023-04-05 09:00:00+02:00;128
100034428;;2023-04-05 07:00:00+02:00;2023-04-05 08:00:00+02:00;56
100034428;;2023-04-05 06:00:00+02:00;2023-04-05 07:00:00+02:00;14
100034428;;2023-04-05 05:00:00+02:00;2023-04-05 06:00:00+02:00;6
100034428;;2023-04-05 04:00:00+02:00;2023-04-05 05:00:00+02:00;1
100034428;;2023-04-05 03:00:00+02:00;2023-04-05 04:00:00+02:00;1
100034428;;2023-04-05 02:00:00+02:00;2023-04-05 03:00:00+02:00;4
100034428;;2023-04-05 01:00:00+02:00;2023-04-05 02:00:00+02:00;8
100034428;;2023-04-05 00:00:00+02:00;2023-04-05 01:00:00+02:00;17
100034428;;2023-04-04 23:00:00+02:00;2023-04-05 00:00:00+02:00;36
100034428;;2023-04-04 22:00:00+02:00;2023-04-04 23:00:00+02:00;51
100034428;;2023-04-04 21:00:00+02:00;2023-04-04 22:00:00+02:00;42
100034428;;2023-04-04 20:00:00+02:00;2023-04-04 21:00:00+02:00;85
100034428;;2023-04-04 19:00:00+02:00;2023-04-04 20:00:00+02:00;120
100034428;;2023-04-04 18:00:00+02:00;2023-04-04 19:00:00+02:00;164
100034428;;2023-04-04 17:00:00+02:00;2023-04-04 18:00:00+02:00;129
100034428;;2023-04-04 16:00:00+02:00;2023-04-04 17:00:00+02:00;91
100034428;;2023-04-04 15:00:00+02:00;2023-04-04 16:00:00+02:00;78
100034428;;2023-04-04 14:00:00+02:00;2023-04-04 15:00:00+02:00;46
100034428;;2023-04-04 13:00:00+02:00;2023-04-04 14:00:00+02:00;49
100034428;;2023-04-04 12:00:00+02:00;2023-04-04 13:00:00+02:00;75
100034428;;2023-04-04 11:00:00+02:00;2023-04-04 12:00:00+02:00;47
100034428;;2023-04-04 10:00:00+02:00;2023-04-04 11:00:00+02:00;43
100034428;;2023-04-04 09:00:00+02:00;2023-04-04 10:00:00+02:00;98
100034428;;2023-04-04 08:00:00+02:00;2023-04-04 09:00:00+02:00;180
100034428;;2023-04-04 07:00:00+02:00;2023-04-04 08:00:00+02:00;58
100034428;;2023-04-04 06:00:00+02:00;2023-04-04 07:00:00+02:00;10
100034428;;2023-04-04 05:00:00+02:00;2023-04-04 06:00:00+02:00;5
100034428;;2023-04-04 04:00:00+02:00;2023-04-04 05:00:00+02:00;1
100034428;;2023-04-04 03:00:00+02:00;2023-04-04 04:00:00+02:00;2
100034428;;2023-04-04 02:00:00+02:00;2023-04-04 03:00:00+02:00;0
100034428;;2023-04-04 01:00:00+02:00;2023-04-04 02:00:00+02:00;5
100034428;;2023-04-04 00:00:00+02:00;2023-04-04 01:00:00+02:00;7
100034428;;2023-04-03 23:00:00+02:00;2023-04-04 00:00:00+02:00;25
100034428;;2023-04-03 22:00:00+02:00;2023-04-03 23:00:00+02:00;36
100034428;;2023-04-03 21:00:00+02:00;2023-04-03 22:00:00+02:00;44
100034428;;2023-04-03 20:00:00+02:00;2023-04-03 21:00:00+02:00;70
100034428;;2023-04-03 19:00:00+02:00;2023-04-03 20:00:00+02:00;76
100034428;;2023-04-03 18:00:00+02:00;2023-04-03 19:00:00+02:00;136
100034428;;2023-04-03 17:00:00+02:00;2023-04-03 18:00:00+02:00;122
100034428;;2023-04-03 16:00:00+02:00;2023-04-03 17:00:00+02:00;59
100034428;;2023-04-03 15:00:00+02:00;2023-04-03 16:00:00+02:00;46
100034428;;2023-04-03 14:00:00+02:00;2023-04-03 15:00:00+02:00;52
100034428;;2023-04-03 13:00:00+02:00;2023-04-03 14:00:00+02:00;32
100034428;;2023-04-03 12:00:00+02:00;2023-04-03 13:00:00+02:00;54
100034428;;2023-04-03 11:00:00+02:00;2023-04-03 12:00:00+02:00;40
100034428;;2023-04-03 10:00:00+02:00;2023-04-03 11:00:00+02:00;25
100034428;;2023-04-03 09:00:00+02:00;2023-04-03 10:00:00+02:00;62
100034428;;2023-04-03 08:00:00+02:00;2023-04-03 09:00:00+02:00;126
100034428;;2023-04-03 07:00:00+02:00;2023-04-03 08:00:00+02:00;57
100034428;;2023-04-03 06:00:00+02:00;2023-04-03 07:00:00+02:00;14
100034428;;2023-04-03 05:00:00+02:00;2023-04-03 06:00:00+02:00;4
100034428;;2023-04-03 04:00:00+02:00;2023-04-03 05:00:00+02:00;1
100034428;;2023-04-03 03:00:00+02:00;2023-04-03 04:00:00+02:00;0
100034428;;2023-04-03 02:00:00+02:00;2023-04-03 03:00:00+02:00;2
100034428;;2023-04-03 01:00:00+02:00;2023-04-03 02:00:00+02:00;6
100034428;;2023-04-03 00:00:00+02:00;2023-04-03 01:00:00+02:00;8
100034428;;2023-04-02 23:00:00+02:00;2023-04-03 00:00:00+02:00;14
100034428;;2023-04-02 22:00:00+02:00;2023-04-02 23:00:00+02:00;8
100034428;;2023-04-02 21:00:00+02:00;2023-04-02 22:00:00+02:00;30
100034428;;2023-04-02 20:00:00+02:00;2023-04-02 21:00:00+02:00;28
100034428;;2023-04-02 19:00:00+02:00;2023-04-02 20:00:00+02:00;38
100034428;;2023-04-02 18:00:00+02:00;2023-04-02 19:00:00+02:00;51
100034428;;2023-04-02 17:00:00+02:00;2023-04-02 18:00:00+02:00;37
100034428;;2023-04-02 16:00:00+02:00;2023-04-02 17:00:00+02:00;24
100034428;;2023-04-02 15:00:00+02:00;2023-04-02 16:00:00+02:00;42
100034428;;2023-04-02 14:00:00+02:00;2023-04-02 15:00:00+02:00;28
100034428;;2023-04-02 13:00:00+02:00;2023-04-02 14:00:00+02:00;22
100034428;;2023-04-02 12:00:00+02:00;2023-04-02 13:00:00+02:00;23
100034428;;2023-04-02 11:00:00+02:00;2023-04-02 12:00:00+02:00;19
100034428;;2023-04-02 10:00:00+02:00;2023-04-02 11:00:00+02:00;30
100034428;;2023-04-02 09:00:00+02:00;2023-04-02 10:00:00+02:00;24
100034428;;2023-04-02 08:00:00+02:00;2023-04-02 09:00:00+02:00;9
100034428;;2023-04-02 07:00:00+02:00;2023-04-02 08:00:00+02:00;6
100034428;;2023-04-02 06:00:00+02:00;2023-04-02 07:00:00+02:00;5
100034428;;2023-04-02 05:00:00+02:00;2023-04-02 06:00:00+02:00;1
100034428;;2023-04-02 04:00:00+02:00;2023-04-02 05:00:00+02:00;8
100034428;;2023-04-02 03:00:00+02:00;2023-04-02 04:00:00+02:00;9
100034428;;2023-04-02 02:00:00+02:00;2023-04-02 03:00:00+02:00;17
100034428;;2023-04-02 01:00:00+02:00;2023-04-02 02:00:00+02:00;22
100034428;;2023-04-02 00:00:00+02:00;2023-04-02 01:00:00+02:00;37
100034428;;2023-04-01 23:00:00+02:00;2023-04-02 00:00:00+02:00;24
100034428;;2023-04-01 22:00:00+02:00;2023-04-01 23:00:00+02:00;17
100034428;;2023-04-01 21:00:00+02:00;2023-04-01 22:00:00+02:00;36
100034428;;2023-04-01 20:00:00+02:00;2023-04-01 21:00:00+02:00;44
100034428;;2023-04-01 19:00:00+02:00;2023-04-01 20:00:00+02:00;52
100034428;;2023-04-01 18:00:00+02:00;2023-04-01 19:00:00+02:00;56
