uid,insee,cat,nb_points,taux_points,longitude,latitude
ed420c75-5d24-4b84-900d-803f8ff087d3,69266,58,24,1.16,4.907476954272305,45.75095442003732
a4b5f136-52fe-42eb-bcd4-091f59fef0a5,69383,58,163,7.74,4.862006433728468,45.76034670428358
ac740493-47ef-469c-9ee6-960559e6b2ea,69388,58,24,5.37,4.853449457399787,45.729454550490594
aec022b3-27b5-4d4f-95e7-01de60cced51,69204,58,16,100,4.793531211906509,45.695412256170144
214f978d-e122-4fe6-80a5-400c8e280617,69383,58,68,3.23,4.858622338812965,45.75713406012976
e8f67dba-da9c-4272-8fda-d7f52d30e7db,69282,58,14,12.61,5.000800539214862,45.77136619962952
d6afabfe-adc6-439a-9850-778dc20587b2,69292,58,14,100,4.878452166359405,45.830936179496426
2cc20212-27dc-4582-b89f-3639ebf1cbfd,69266,58,14,0.68,4.910248184132443,45.75835123974525
f019b31e-43b8-458c-818f-9e99496e0fed,69063,58,14,93.33,4.847323283755592,45.83103644932553
4627c6d7-f88c-4ac9-867a-2da6106d6824,69266,58,15,0.73,4.87876034722303,45.77176198254763
e9923765-a82c-4cb9-adfb-fbde0a979e75,69266,58,14,0.68,4.8896541126202,45.767695619354164
d13999a5-b45c-4ce5-9410-8d72b76e2981,69383,58,96,4.56,4.867171499047474,45.75454920422165
5c078f33-a8fa-4c4e-a828-fa3ecc1413b8,69386,58,122,16.76,4.862655804469194,45.76357621625783
90c1f2a2-33b2-4f7a-9386-6df58f3c9069,69389,58,15,3.34,4.812608112311657,45.77007647753262
09d80c29-360d-4fe4-846f-de01f1fa6103,69383,58,26,1.24,4.867472362457397,45.76373821272826
208fb159-2115-40a3-9530-40fb58a27485,69383,58,266,12.64,4.8693764665303805,45.75308662341725
3e02860e-8c96-4af5-a95a-824f7d41a692,69382,58,300,34.76,4.828775344219179,45.74902775666492
f43bb125-3199-4ec3-8feb-91ef7c9a9207,69383,58,527,25.04,4.843573596484043,45.755085800599815
550be746-59ec-4cbb-a253-a1a7ef313faf,69386,58,52,7.14,4.861569818874785,45.766165189013144
e9c6872f-5c72-48fe-9bf5-ff0623bae3d7,69386,58,21,2.88,4.840950454312682,45.76794944466706
9673b696-ac45-44ca-91ea-b53c819ba641,69388,58,49,10.96,4.859457523234557,45.73963927504449
5f4e525d-4928-4482-9823-e97932657ce9,69388,58,33,7.38,4.871106120940565,45.745716988143094
81fc3aa2-7a2e-4f79-87e9-6ea2d26b3e02,69383,58,53,2.52,4.871829303237868,45.75511619945587
3b2c0834-2802-4f36-b010-ad415dd1be40,69382,58,146,16.92,4.834650593661287,45.757948307530384
de230cf2-c424-48f7-b7c8-86951f330d9a,69383,58,14,0.67,4.858376818028353,45.7583314067742
225d8cd1-cdcf-4d79-9ab8-a8ca60e6ff79,69385,58,97,88.99,4.8214554464218535,45.75167669408507
a2d98258-9527-4b33-95bf-7e1aec1520ea,69383,58,65,3.09,4.862965403345064,45.760627191647686
2760b8ff-00dc-41dd-af32-fa8ad121a0d0,69381,58,65,24.62,4.8377102187750145,45.77254765360053
f6ff6374-88af-472c-bedc-cdb2d877cfd6,69383,58,44,2.09,4.863801079547766,45.75407798254731
05267728-578d-4eee-8f49-b93f5bb49e1d,69383,58,18,0.86,4.855405920799177,45.75932488590074
9bb62135-4e97-4212-820c-88b418ec19e1,69389,58,161,35.86,4.8046493554966005,45.77544845486533
fce7bb61-f710-4004-a02d-be0f37ecea2f,69382,58,50,5.79,4.829277198939418,45.75912188837364
c0942996-47a7-4ce2-b89b-d4e6c45b46bf,69152,58,15,100,4.826320066768203,45.69514757941974
6b254fc4-2920-4901-9106-f738421ffe81,69387,58,22,1.83,4.833479043792413,45.73135637163231
a2121660-7f2b-4957-aae3-fa9b4681c5c0,69387,58,57,4.73,4.858905400510165,45.747176522505406
550fcb1d-5c57-4522-a5a9-e9c7e61f0b7f,69388,58,96,21.48,4.879033742503186,45.74291010647346
66a5faed-5a03-44b7-8f30-020f3f400f6a,69383,58,19,0.9,4.85567650018604,45.7571102326517
ef9cec24-e9cb-4698-bfc3-9255d60d7a67,69386,58,44,6.04,4.8574698377743575,45.76982286639439
6e6f3d55-2771-4fd5-a8b0-bec6cd3e0bd7,69387,58,26,2.16,4.84442343650664,45.75367093822937
7a341060-130b-4cd0-b9c0-29217ede0845,69389,58,16,3.56,4.807514410037025,45.776840406732624
8d3933bf-69b5-4c6c-bc83-8d17c9359ac3,69383,58,15,0.71,4.851257848573215,45.763624803551224
58f19dd4-af4c-43c8-bb3b-fe8bd935b7f4,69383,58,135,6.41,4.861917087672843,45.75709787154158
